,address,type,datetime,latitude,longitude,report_location,incident_number
7260,169 WESTERN AVE W,MVI - Motor Vehicle Incident,2026-01-18T08:47:00.000,47.619542,-122.35894,"{'type': 'Point', 'coordinates': [-122.35894, 47.619542]}",F260008343
7261,800 Jefferson St,Aid Response,2026-01-18T08:44:00.000,47.604315,-122.32531,"{'type': 'Point', 'coordinates': [-122.32531, 47.604315]}",F260008341
7262,903 E Columbia St,Engine Code Red,2026-01-18T08:44:00.000,47.609241,-122.320491,"{'type': 'Point', 'coordinates': [-122.320491, 47.609241]}",F260008340
7263,1635 11th Ave,Hang-Up- Aid,2026-01-18T08:43:00.000,47.615659,-122.318166,"{'type': 'Point', 'coordinates': [-122.318166, 47.615659]}",F260008338
7264,14396 30th Ave Ne,Auto Fire Alarm,2026-01-18T08:43:00.000,47.732881,-122.296531,"{'type': 'Point', 'coordinates': [-122.296531, 47.732881]}",F260008339
7265,10014 35th Ave Sw,Automatic Fire Alarm Resd,2026-01-18T08:41:00.000,47.513596,-122.376356,"{'type': 'Point', 'coordinates': [-122.376356, 47.513596]}",F260008337
7266,1111 S Atlantic St,Investigate Out Of Service,2026-01-18T08:40:00.000,47.589986,-122.317946,"{'type': 'Point', 'coordinates': [-122.317946, 47.589986]}",F260008336
7267,10000 Holman Rd Nw,Aid Response,2026-01-18T08:38:00.000,47.701727,-122.362067,"{'type': 'Point', 'coordinates': [-122.362067, 47.701727]}",F260008335
7268,108 2nd Ave S,Medic Response,2026-01-18T08:38:00.000,47.601681,-122.331562,"{'type': 'Point', 'coordinates': [-122.331562, 47.601681]}",F260008334
7269,903 E COLUMBIA ST,Engine Code Red,2026-01-18T08:34:00.000,47.609241,-122.320491,"{'type': 'Point', 'coordinates': [-122.320491, 47.609241]}",F260008332
7270,HIAWATHA PL S / S BUSH PL,Aid Response,2026-01-18T08:29:00.000,47.592704,-122.307797,"{'type': 'Point', 'coordinates': [-122.307797, 47.592704]}",F260008331
7271,Brooklyn Ave Ne / Ne 47th St,Aid Response,2026-01-18T08:23:00.000,47.6631,-122.314238,"{'type': 'Point', 'coordinates': [-122.314238, 47.6631]}",F260008330
7272,5031 University Way Ne,Illegal Burn,2026-01-18T08:16:00.000,47.665134,-122.313071,"{'type': 'Point', 'coordinates': [-122.313071, 47.665134]}",F260008328
7273,3rd Ave / Stewart St,Aid Response,2026-01-18T08:15:00.000,47.611629,-122.339592,"{'type': 'Point', 'coordinates': [-122.339592, 47.611629]}",F260008326
7274,607 3rd Ave,Aid Response,2026-01-18T08:15:00.000,47.602813,-122.331449,"{'type': 'Point', 'coordinates': [-122.331449, 47.602813]}",F260008325
